BUURTCODE,BUURTNAAM,WIJKNAAM,STADSDEELNAAM,population,area_km2,OAD,pop_density,parking_count,parking_capacity,accident_count,injury_count,fatal_count,property_damage_only_count,lane_length_m,has_lane_data,parking_capacity_per_1000_residents,accident_rate_per_1000_residents
713,Hagenkamp,Wijk Rozenknopje,Stadsdeel Gestel,1226.0,0.2729917123797548,4490.978826106373,4490.978826106373,0,0.0,10,2,0,8,2454.0589930027363,True,0.0,8.156606851549755
732,Hanevoet,Wijk Gestelse Ontginning,Stadsdeel Gestel,3669.0,0.7336514441359269,5001.012441706893,5001.012441706893,0,0.0,24,5,0,19,4522.34772183782,True,0.0,6.541291905151268
544,Heesterakker,Wijk Dommelbeemd,Stadsdeel Woensel-Noord,2663.0,0.5195141235154096,5125.943414165931,5125.943414165931,0,0.0,7,3,0,4,10163.873294055851,True,0.0,2.6286143447239954
412,Hemelrijken,Wijk Oud-Woensel,Stadsdeel Woensel-Zuid,4102.0,0.3689274172719545,11118.718230085387,11118.718230085387,0,0.0,37,10,0,27,2000.1917703294903,True,0.0,9.019990248659191
622,Het Ven,Wijk Halve Maan,Stadsdeel Strijp,3909.0,0.8808806957926104,4437.604341508141,4437.604341508141,0,0.0,30,9,0,21,10238.537856577235,True,0.0,7.674597083653108
433,Hondsheuvels,Wijk Begijnenbroek,Stadsdeel Woensel-Zuid,403.0,0.4164562677913428,967.6886414443763,967.6886414443763,0,0.0,14,3,0,11,3642.532348488119,True,0.0,34.7394540942928
621,Hurk,Wijk Halve Maan,Stadsdeel Strijp,53.0,2.077474518260159,25.511744925943248,25.511744925943248,0,0.0,39,7,1,31,6637.0774554345,True,0.0,735.8490566037735
211,Irisbuurt,Wijk Oud-Stratum,Stadsdeel Stratum,2905.0,0.5384863179305281,5394.751738845078,5394.751738845078,0,0.0,38,7,0,31,5462.327146342767,True,0.0,13.080895008605852
513,Jagershoef,Wijk Ontginning,Stadsdeel Woensel-Noord,3588.0,0.5465800692268692,6564.454509062472,6564.454509062472,0,0.0,8,0,0,8,6191.258381153301,True,0.0,2.229654403567447
215,Joriskwartier,Wijk Oud-Stratum,Stadsdeel Stratum,1342.0,0.1489672317813169,9008.692609459566,9008.692609459566,0,0.0,7,2,1,4,1400.583903480149,True,0.0,5.216095380029807
520,Kapelbeemd,Wijk Achtse Molen,Stadsdeel Woensel-Noord,107.0,0.8324472135124051,128.53667867843188,128.53667867843188,0,0.0,2,0,0,2,1218.8555805903263,True,0.0,18.69158878504673
336,Karpen,Wijk Oud-Tongelre,Stadsdeel Tongelre,454.0,0.92806961385547,489.1874415691217,489.1874415691217,0,0.0,5,2,0,3,6066.0767508958315,True,0.0,11.013215859030838
521,Kerkdorp Acht,Wijk Achtse Molen,Stadsdeel Woensel-Noord,3512.0,1.3622966777998344,2577.999386794384,2577.999386794384,0,0.0,7,2,0,5,8954.09466031355,True,0.0,1.9931662870159454
221,Kerstroosplein,Wijk Kortonjo,Stadsdeel Stratum,1881.0,0.2089214539219683,9003.38363863076,9003.38363863076,0,0.0,10,1,0,9,2459.657702079057,True,0.0,5.31632110579479
337,Koudenhoven,Wijk Oud-Tongelre,Stadsdeel Tongelre,533.0,1.7555656746633528,303.6058449378193,303.6058449378193,0,0.0,2,0,0,2,3870.1824584073333,True,0.0,3.75234521575985
