fid,accident_id,accident_year,accident_outcome,number_of_parties,party_1_object_type,party_1_object_type_other,party_2_object_type,party_2_object_type_other,accident_nature,linking_level,road_situation,built_up_area,speed_limit,road_lighting,road_pavement,road_surface,light_condition,visibility_distance,weather_condition,special_traffic_measure,special_traffic_measure_other,special_infrastructure,special_infrastructure_other,special_temporary_nature,special_temporary_nature_other,junction_id,road_section_id,hectometer,street_name,place_name,current,road_authority,municipality,province,service_area_name,district_name,alcohol_indication,gdb_geometry_attribute_data,geometry
ongevallen_2022_2024.206933,20240136117,2024,property_damage_only,2,passenger_car,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rotonde,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,600219601.0,,,Anconalaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (162550.94420000166 388608.0267000012)
ongevallen_2022_2024.207079,20240136877,2024,property_damage_only,2,passenger_car,,moped,,Frontaal,Ongeval gekoppeld op straat niveau.,Rechte weg,Binnen,30.0,Niet brandend,Klinkers,Droog,Daglicht,,Droog,,,,,,,,323169064.0,,Onze Lieve Vrouwestraat,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (161768.2349999994 384834.41800000146)
ongevallen_2022_2024.208388,20240034360,2024,injury,2,passenger_car,,bicycle,,Geparkeerd voertuig,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,50.0,Brandend,ZOAB,Droog,Duisternis,,Droog,,,Tunnel,,,,,600799916.0,,Vredeoord,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (159296.3449999988 385330.05099999905)
ongevallen_2022_2024.210374,20240044987,2024,property_damage_only,1,bicycle,,,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,50.0,Niet brandend,ZOAB,Nat,Daglicht,,Regen,,,,,,,325159017.0,,,Leenderweg,Eindhoven,True,national_government,Eindhoven,Noord-Brabant,RWS Zuid-Nederland,ZN District Midden,,,POINT (162968.83520000055 379631.3623000011)
ongevallen_2022_2024.211264,20240072633,2024,property_damage_only,1,bicycle,,,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,Andere oversteekplaats,,,,,,600219186.0,,,Philitelaan,Eindhoven,False,municipality,Eindhoven,Noord-Brabant,,,,,POINT (160250.40909999982 384005.2558000013)
ongevallen_2022_2024.211464,20240101649,2024,property_damage_only,2,,VOERTUIG ONBEKEND,light_moped,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,ZOAB,Droog,Daglicht,,Droog,,,,,,,600219221.0,,,Tonnaerstraat,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (160675.07840000093 385350.5033)
ongevallen_2022_2024.213089,20240137013,2024,property_damage_only,2,passenger_car,,bicycle,,Kop/staart,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,323170025.0,,,Gen van der Duynlaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (161641.13659999892 385457.314199999)
ongevallen_2022_2024.213244,20240155651,2024,property_damage_only,2,passenger_car,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,50.0,Niet brandend,Klinkers,Nat,Daglicht,,Regen,Andere oversteekplaats,,,,,,,321165045.0,,Hoogstraat,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (160798.3280000016 382615.1259999983)
ongevallen_2022_2024.213276,20240155933,2024,property_damage_only,2,passenger_car,,bicycle,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rotonde,Binnen,50.0,Niet brandend,ZOAB,Droog,Daglicht,,Droog,,,,,,,600219623.0,,,Mercuriuslaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (162356.7714000009 387378.98429999873)
ongevallen_2022_2024.213427,20240002652,2024,property_damage_only,2,van,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rotonde,Binnen,50.0,Brandend,Overig asfalt,Nat,Duisternis,,Droog,VOP,,,,,,600219596.0,,,Tempellaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (162477.3370999992 388614.3916000016)
