fid,accident_id,accident_year,accident_outcome,accident_outcome_standardized,number_of_parties,party_1_object_type,party_1_object_type_other,party_2_object_type,party_2_object_type_other,accident_nature,linking_level,road_situation,built_up_area,speed_limit,road_lighting,road_pavement,road_surface,light_condition,visibility_distance,weather_condition,special_traffic_measure,special_traffic_measure_other,special_infrastructure,special_infrastructure_other,special_temporary_nature,special_temporary_nature_other,junction_id,road_section_id,hectometer,street_name,place_name,current,current_boolean,road_authority,municipality,province,service_area_name,district_name,alcohol_indication,gdb_geometry_attribute_data,geometry,longitude,latitude
ongevallen_2022_2024.276334,20240043840,2024,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,Fiets,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,70.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,Andere oversteekplaats,,,,,,600218753.0,,,Eisenhowerlaan,Eindhoven,Nee,False,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (163710.69619999826 384690.0430999994),5.5125148653596625,51.451227189012414
ongevallen_2022_2024.276502,20240103090,2024,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,Fiets,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,30.0,Brandend,Klinkers,Nat,Duisternis,,Droog,,,,,,,,319169026.0,,Groenewoudseweg,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (159852.01399999857 384741.02800000086),5.45700380489925,51.451731967155226
ongevallen_2022_2024.276601,20240045086,2024,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,e-bike,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,Andere oversteekplaats,,,,,,600219943.0,,,Fakkellaan,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (159590.34369999915 386960.94579999894),5.453268337874392,51.471688247059035
ongevallen_2022_2024.276624,20240101530,2024,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,Fiets,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet aanwezig,Overig asfalt,Droog,Daglicht,,Droog,Andere oversteekplaats,,,,,,319175099.0,,,Marathonloop,Eindhoven,Nee,False,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (159779.38529999927 387768.5335999988),5.456000147012635,51.47894579554736
ongevallen_2022_2024.276698,20240072545,2024,Uitsluitend materiele schade,property_damage_only,2,Fiets,,Motor,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,323165025.0,,,Hertogstraat,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (161857.373399999 382667.0183000006),5.485813184021673,51.43306852503589
ongevallen_2022_2024.276750,20240091857,2024,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,Fiets,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,30.0,Brandend,Klinkers,Nat,Duisternis,,Droog,,,,,,,,601081697.0,,Tramstraat,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (161695.71299999952 383354.6259999983),5.483501515872068,51.439251147698464
ongevallen_2022_2024.276905,20230063027,2023,Uitsluitend materiele schade,property_damage_only,1,Bromfiets,,,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Nat,Daglicht,,Droog,,,,,,,323170121.0,,,Europalaan,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (161640.37900000066 385359.8418999985),5.482743539365715,51.457276009413484
ongevallen_2022_2024.277174,20230041727,2023,Uitsluitend materiele schade,property_damage_only,3,Bus,,Fiets,,Onbekend,Ongeval gekoppeld op straat niveau.,Rechte weg,Binnen,50.0,Niet brandend,Beton,Droog,Daglicht,,Droog,,,,,,,,322166130.0,,Nieuwe Emmasingel,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (161195.34299999848 383322.3509999998),5.476304420393033,51.43896676721226
ongevallen_2022_2024.277212,20230041762,2023,Uitsluitend materiele schade,property_damage_only,2,Bromfiets,,Bromfiets,,Onbekend,Ongeval gekoppeld op straat niveau.,,Binnen,,,,,Duisternis,,,,,,,,,,322167103.0,,Veldm Montgomerylaan,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (161223.99599999934 383916.01199999824),5.476727020581608,51.44430267172891
ongevallen_2022_2024.277969,20240136547,2024,Letsel,injury,2,Bestelauto,,Bromfiets,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,600219001.0,,,Felix Timmermanslaan,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (161715.51060000062 381045.0756999999),5.483742198089101,51.41849112212625
