id,element,geometry,highway
5131390,way,"LINESTRING (5.502207 51.474347, 5.502477 51.474532, 5.502704 51.474684, 5.502857 51.474795, 5.503383 51.475185, 5.503575 51.475288, 5.503678 51.475341, 5.503905 51.475423, 5.504046 51.475469, 5.504324 51.475533, 5.504625 51.475594, 5.504839 51.475665, 5.505028 51.475748, 5.505132 51.475804, 5.50523 51.475895, 5.50528 51.47597, 5.505272 51.476064, 5.50524 51.4762, 5.505196 51.476345, 5.505209 51.47647, 5.505423 51.477364, 5.505523 51.477522, 5.505653 51.477631, 5.505687 51.47774, 5.505748 51.478266, 5.505709 51.47833, 5.505684 51.478352, 5.505578 51.478401, 5.505448 51.478518, 5.505339 51.478701, 5.505203 51.4789, 5.505134 51.479083, 5.505088 51.479218, 5.50501 51.479502, 5.504979 51.479794, 5.504962 51.480032, 5.505098 51.480268, 5.505172 51.480508, 5.505173 51.480619, 5.505167 51.480657, 5.505114 51.480784, 5.505044 51.480931, 5.504952 51.481153, 5.50494 51.481292, 5.504978 51.481373, 5.505073 51.481469, 5.505077 51.481543, 5.505041 51.481685, 5.504977 51.48183, 5.50493 51.481919, 5.504907 51.481971, 5.504832 51.482052, 5.504767 51.482169, 5.504751 51.482321, 5.504765 51.482468, 5.504736 51.482676, 5.504768 51.482769, 5.504813 51.482849, 5.504884 51.482978, 5.504975 51.483114, 5.505101 51.483294, 5.505127 51.483339, 5.505127 51.483385, 5.505081 51.483458)",cycleway
7154891,way,"LINESTRING (5.535438 51.438225, 5.535188 51.438526, 5.5349 51.438814, 5.534683 51.439001, 5.5337 51.439788, 5.533562 51.439912, 5.53345 51.44004, 5.533433 51.440087)",cycleway
7155660,way,"LINESTRING (5.503869 51.426623, 5.503961 51.426773, 5.50413 51.427025, 5.504173 51.427088)",cycleway
7155752,way,"LINESTRING (5.509978 51.422868, 5.509981 51.422921, 5.509981 51.422924, 5.510008 51.423003, 5.510075 51.423067, 5.510133 51.423127, 5.51016 51.423137, 5.510282 51.423194, 5.510304 51.423204, 5.510523 51.423263, 5.510663 51.423303, 5.512362 51.423794)",cycleway
7156135,way,"LINESTRING (5.522014 51.433357, 5.521962 51.433365, 5.519983 51.433552, 5.519909 51.43356)",cycleway
7156179,way,"LINESTRING (5.517532 51.438425, 5.517631 51.438454, 5.517825 51.438489, 5.517915 51.438475, 5.518947 51.438315, 5.51976 51.43819, 5.520926 51.438038)",cycleway
7156198,way,"LINESTRING (5.520452 51.437626, 5.520535 51.437662, 5.520633 51.437705, 5.520669 51.437726, 5.520697 51.437747, 5.520726 51.437772, 5.520742 51.437791, 5.520757 51.437813, 5.5208 51.437942, 5.520926 51.438038)",cycleway
7156243,way,"LINESTRING (5.5253 51.438057, 5.524437 51.438139, 5.524251 51.438156, 5.523446 51.438232, 5.523405 51.438236, 5.522552 51.438316, 5.522496 51.438321, 5.521847 51.438382, 5.520807 51.43848)",cycleway
7156425,way,"LINESTRING (5.523358 51.450014, 5.523122 51.450031, 5.52303 51.450059, 5.523 51.450109, 5.522925 51.450167)",cycleway
7156455,way,"LINESTRING (5.522925 51.450167, 5.522599 51.450382)",cycleway
7156974,way,"LINESTRING (5.504519 51.439261, 5.504534 51.438878, 5.50454 51.438654, 5.504541 51.438612, 5.504554 51.438558, 5.504575 51.438471, 5.504585 51.438418, 5.504603 51.43838, 5.504645 51.438118, 5.504649 51.437936)",cycleway
7157166,way,"LINESTRING (5.502012 51.440675, 5.502248 51.44075, 5.502331 51.440776, 5.502351 51.440783)",cycleway
7157510,way,"LINESTRING (5.477755 51.45425, 5.478039 51.454313)",cycleway
7157680,way,"LINESTRING (5.484124 51.44677, 5.484511 51.446772, 5.484595 51.446773, 5.484631 51.446773, 5.484837 51.446774, 5.484862 51.446774, 5.485323 51.446777, 5.48544 51.446752, 5.485957 51.446751, 5.486286 51.446751, 5.486463 51.446751, 5.486639 51.44675, 5.487357 51.446749, 5.488453 51.446747)",cycleway
7157784,way,"LINESTRING (5.478275 51.435447, 5.47834 51.435449, 5.478999 51.435704)",cycleway
7158032,way,"LINESTRING (5.485665 51.437463, 5.485535 51.437456)",cycleway
7158105,way,"LINESTRING (5.501817 51.413679, 5.501764 51.414222, 5.501718 51.414617, 5.501697 51.414801, 5.501645 51.415335)",cycleway
7158246,way,"LINESTRING (5.491244 51.414878, 5.491106 51.414874)",cycleway
